#SampleID	Metaphlan2_Analysis
	44
|p__	44
|p__|c__	44
|p__|c__|o__	44
|p__|c__|o__|f__	44
|p__|c__|o__|f__|g__	44
|p__|c__|o__|f__|g__|s__	44
d__Archaea	1811
d__Archaea|p__Aenigmatarchaeota	19
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia	19
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales	6
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__Aenigmatarchaeaceae	6
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__Aenigmatarchaeaceae|g__	6
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__Aenigmatarchaeales|f__Aenigmatarchaeaceae|g__|s__	6
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14	5
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__	3
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__|g__	3
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__|g__|s__	3
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__CG10238-14	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__CG10238-14|g__RBG-16-49-10	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__CG10238-14|g__RBG-16-49-10|s__	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__|s__	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__|s__	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01	7
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__|g__	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__|g__|s__	1
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__QMZP01	6
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__QMZP01|g__	6
d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__QMZP01|g__|s__	6
d__Archaea|p__Altarchaeota	2
d__Archaea|p__Altarchaeota|c__Altarchaeia	2
d__Archaea|p__Altarchaeota|c__Altarchaeia|o__IMC4	2
d__Archaea|p__Altarchaeota|c__Altarchaeia|o__IMC4|f__QMZM01	1
d__Archaea|p__Altarchaeota|c__Altarchaeia|o__IMC4|f__QMZM01|g__QMZG01	1
d__Archaea|p__Altarchaeota|c__Altarchaeia|o__IMC4|f__QMZM01|g__QMZG01|s__	1
d__Archaea|p__Altarchaeota|c__Altarchaeia|o__IMC4|f__SCGC-AAA252-I15	1
d__Archaea|p__Altarchaeota|c__Altarchaeia|o__IMC4|f__SCGC-AAA252-I15|g__	1
d__Archaea|p__Altarchaeota|c__Altarchaeia|o__IMC4|f__SCGC-AAA252-I15|g__|s__	1
d__Archaea|p__Altiarchaeota	1
d__Archaea|p__Altiarchaeota|c__Altiarchaeia	1
d__Archaea|p__Altiarchaeota|c__Altiarchaeia|o__SCGC-AAA252-I15	1
d__Archaea|p__Altiarchaeota|c__Altiarchaeia|o__SCGC-AAA252-I15|f__	1
d__Archaea|p__Altiarchaeota|c__Altiarchaeia|o__SCGC-AAA252-I15|f__|g__	1
d__Archaea|p__Altiarchaeota|c__Altiarchaeia|o__SCGC-AAA252-I15|f__|g__|s__	1
d__Archaea|p__Asgardarchaeota	21
d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia	7
d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4	6
d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__	3
d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__|g__	3
d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__|g__|s__	3
d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__SOKP01	3
d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__SOKP01|g__SOKP01	3
d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__SOKP01|g__SOKP01|s__	3
d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__Thorarchaeales	1
d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__Thorarchaeales|f__Thorarchaeaceae	1
d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__Thorarchaeales|f__Thorarchaeaceae|g__	1
d__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__Thorarchaeales|f__Thorarchaeaceae|g__|s__	1
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia	14
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__	3
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__|f__	3
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__|f__|g__	3
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__|f__|g__|s__	3
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales	11
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__	1
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__|g__	1
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__|g__|s__	1
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae	10
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae|g__	5
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae|g__|s__	5
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae|g__MP8T-1	2
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae|g__MP8T-1|s__	2
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae|g__SMTZ1-45	1
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae|g__SMTZ1-45|s__	1
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae|g__SMTZ1-83	2
d__Archaea|p__Asgardarchaeota|c__Thorarchaeia|o__Thorarchaeales|f__Thorarchaeaceae|g__SMTZ1-83|s__	2
d__Archaea|p__Crenarchaeota	472
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia	102
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__40CM-2-53-6	40
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__40CM-2-53-6|f__40CM-2-53-6	11
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__40CM-2-53-6|f__40CM-2-53-6|g__40CM-2-53-6	11
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__40CM-2-53-6|f__40CM-2-53-6|g__40CM-2-53-6|s__	11
