uid,domainID,siteID,plotID,namedLocation,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedBy,remarks,genomicsDataQF,publicationDate,release
4868c4b6-7173-4695-a4a3-e2d5f9362a51,D01,BART,BART_001,BART_001.basePlot.bgc,2016-07-25T16:38Z,,NEON.DOC.014048vF,BART_001-O-30-17-20160725|BART_001-O-11.5-9.5-20160725|BART_001-O-35-27-20160725,BART_001-O-20160725-COMP,,OK,ramundson@field-ops.org,,,20211222T000912Z,RELEASE-2022
32a55235-d2bf-477b-96a1-133ec578a43d,D01,BART,BART_004,BART_004.basePlot.bgc,2016-07-25T19:08Z,,NEON.DOC.014048vF,BART_004-O-22.5-2.5-20160725|BART_004-O-2.5-34.5-20160725|BART_004-O-18-4.5-20160725,BART_004-O-20160725-COMP,,OK,ramundson@field-ops.org,,,20211222T000912Z,RELEASE-2022
1095c616-a91a-4b0b-a4f9-8b9a54fb215f,D01,BART,BART_042,BART_042.basePlot.bgc,2016-07-25T21:15Z,,NEON.DOC.014048vF,BART_042-O-33-2-20160725|BART_042-O-4.5-4-20160725|BART_042-O-4-31.5-20160725,BART_042-O-20160725-COMP,,OK,ramundson@field-ops.org,,,20211222T000912Z,RELEASE-2022
2110add6-4c78-4e7a-8433-b7aacb0e403f,D01,BART,BART_003,BART_003.basePlot.bgc,2016-07-26T14:43Z,,NEON.DOC.014048vF,BART_003-O-18-36.5-20160726|BART_003-O-37.5-18.5-20160726|BART_003-O-35-25-20160726,BART_003-O-20160726-COMP,,OK,ramundson@field-ops.org,,,20211222T000912Z,RELEASE-2022
d15f32b4-48ae-4862-98a2-3361163e902b,D01,BART,BART_024,BART_024.basePlot.bgc,2016-07-26T17:23Z,,NEON.DOC.014048vF,BART_024-O-36-13-20160726|BART_024-O-13-8-20160726|BART_024-O-23.5-36-20160726,BART_024-O-20160726-COMP,,OK,ramundson@field-ops.org,,,20211222T000912Z,RELEASE-2022
d2822285-6155-4217-8523-e50c55a624bc,D01,BART,BART_023,BART_023.basePlot.bgc,2016-07-26T20:00Z,,NEON.DOC.014048vF,BART_023-O-38.5-23-20160726|BART_023-O-11.5-37-20160726|BART_023-O-32-7-20160726,BART_023-O-20160726-COMP,,OK,ramundson@field-ops.org,,,20211222T000912Z,RELEASE-2022
b2e2f2c0-be60-4825-903f-7370630392ad,D01,BART,BART_002,BART_002.basePlot.bgc,2016-07-27T13:17Z,,NEON.DOC.014048vF,BART_002-O-12-0.5-20160727|BART_002-O-38-10.5-20160727|BART_002-O-11-32.5-20160727,BART_002-O-20160727-COMP,,OK,ramundson@field-ops.org,,,20211222T000912Z,RELEASE-2022
ff46303e-cfde-4615-92d9-c1ba21288392,D01,BART,BART_036,BART_036.basePlot.bgc,2016-07-27T15:15Z,,NEON.DOC.014048vF,BART_036-O-9.5-21.5-20160727|BART_036-O-4-9-20160727|BART_036-O-38.5-13-20160727,BART_036-O-20160727-COMP,,OK,ramundson@field-ops.org,,,20211222T000912Z,RELEASE-2022
0a8b312c-d6b0-4fdf-8b77-f71b24e21ef6,D01,BART,BART_071,BART_071.basePlot.bgc,2016-07-27T16:50Z,,NEON.DOC.014048vF,BART_071-O-22.5-31-20160727|BART_071-O-26.5-5.5-20160727|BART_071-O-10-3-20160727,BART_071-O-20160727-COMP,,OK,ramundson@field-ops.org,,,20211222T000912Z,RELEASE-2022
36081296-d1c9-441b-8e7f-7f8756d8b90a,D01,BART,BART_040,BART_040.basePlot.bgc,2016-07-27T18:37Z,,NEON.DOC.014048vF,BART_040-O-23-8-20160727|BART_040-O-1-18-20160727|BART_040-O-20-34-20160727,BART_040-O-20160727-COMP,,OK,ramundson@field-ops.org,,,20211222T000912Z,RELEASE-2022
