"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"bgc_CNiso_externalSummary","uid","Unique ID within NEON database; an identifier for the record","string",NA,"expanded","asIs","N",""
"bgc_CNiso_externalSummary","analyte","Analyte or parameter measured","string",NA,"expanded","LOV","Y","bgc.analyte"
"bgc_CNiso_externalSummary","analyteUnits","Associated units of measure for analyte","string",NA,"expanded","LOV","N","bgc.analyteUnits"
"bgc_CNiso_externalSummary","sampleType","Type of sample","string",NA,"expanded","LOV","Y","bgc.sampleType"
"bgc_CNiso_externalSummary","qaReferenceID","Identifier for quality assurance reference material or standard","string",NA,"expanded","asIs","Y",""
"bgc_CNiso_externalSummary","analyteKnownValue","The known value of a given analyte for a quality assurance reference material or standard, with units tied to the analyte","real",NA,"expanded","*.##(round)","Y",""
"bgc_CNiso_externalSummary","analyteObservedValue","The measured value of a given analyte for a standard reference material, with units tied to the analyte","real",NA,"expanded","*.##(round)","N",""
"bgc_CNiso_externalSummary","analyteAbsoluteError","Long-term average absolute error, e.g. the difference between observed and known values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns","real",NA,"expanded","*.###(round)","N",""
"bgc_CNiso_externalSummary","analyteStandardDeviation","Long-term average standard deviation values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns","real",NA,"expanded","*.###(round)","N",""
"bgc_CNiso_externalSummary","analyteMetricsCount","Count of how many measurements were used to determine analyte metrics","unsigned integer","number","expanded","integer","N",""
"bgc_CNiso_externalSummary","qaReportingStartDate","Start date for the quality assurance (QA) reporting period","dateTime",NA,"expanded","yyyy-MM-dd(floor)","Y",""
"bgc_CNiso_externalSummary","qaReportingEndDate","End date for the quality assurance (QA) reporting period","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"bgc_CNiso_externalSummary","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"expanded","asIs","Y",""
"bgc_CNiso_externalSummary","instrument","Type of instrument used for the analysis","string",NA,"expanded","asIs","N",""
"bgc_CNiso_externalSummary","testMethod","Method used to conduct test","string",NA,"expanded","asIs","N",""
"bgc_CNiso_externalSummary","method","Published method used for analysis","string",NA,"expanded","asIs","N",""
"bgc_CNiso_externalSummary","dataQF","Data quality flag","string",NA,"expanded","asIs","N",""
"ntr_externalLab","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"ntr_externalLab","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"ntr_externalLab","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"ntr_externalLab","siteID","NEON site code","string",NA,"basic","asIs","N",""
"ntr_externalLab","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"ntr_externalLab","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"ntr_externalLab","sampleID","Identifier for sample","string",NA,"basic","asIs","N",""
"ntr_externalLab","sampleCode","Barcode of a sample","string",NA,"basic","asIs","N",""
"ntr_externalLab","kclSampleID","Identifier for a potassium chloride (KCl) extract sample","string",NA,"basic","asIs","Y",""
"ntr_externalLab","kclSampleCode","Barcode of a potassium chloride (KCl) extract sample","string",NA,"basic","asIs","Y",""
"ntr_externalLab","sampleCondition","Condition of a sample","string",NA,"basic","LOV","N","ntr.labSampleCondition"
"ntr_externalLab","ammoniumNAnalysisDate","Date an ammonium sample was analyzed","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"ntr_externalLab","kclAmmoniumNConc","Concentration of ammonium N in a potassium chloride extract","real","milligramsPerLiter","basic","*.###(round)","N",""
"ntr_externalLab","ammoniumNRepNum","Analytical replicate number for ammonium sample","unsigned integer","number","basic","integer","Y",""
"ntr_externalLab","ammoniumNQF","Quality flag for ammonium N values","string",NA,"basic","LOV","N","ntr.ammoniumNQF"
"ntr_externalLab","ammoniumNRemarks","Free text comments accompanying the ammonium record","string",NA,"basic","asIs","N",""
"ntr_externalLab","nitrateNitriteNAnalysisDate","Date a nitrate + nitrite N sample was analyzed","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"ntr_externalLab","kclNitrateNitriteNConc","Concentration of nitrate + nitrite N in a potassium chloride extract","real","milligramsPerLiter","basic","*.###(round)","N",""
"ntr_externalLab","nitrateNitriteNRepNum","Analytical replicate number for nitrate + nitrite N sample","unsigned integer","number","basic","integer","Y",""
"ntr_externalLab","nitrateNitriteNQF","Quality flag for nitrate + nitrite N values","string",NA,"basic","LOV","N","ntr.nitrateNitriteNQF"
"ntr_externalLab","nitrateNitriteNRemarks","Free text comments accompanying the nitrate + nitrite N record","string",NA,"basic","asIs","N",""
"ntr_externalLab","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"basic","asIs","N",""
"ntr_externalLab","ammoniumNMethod","Method used to test sample for ammonium N concentration","string",NA,"basic","asIs","N",""
"ntr_externalLab","ammoniumNInstrument","Type of instrument used for ammonium analysis","string",NA,"basic","asIs","N",""
"ntr_externalLab","ammoniumNAnalyzedBy","Name of lab personnel analyzing sample for ammonium N","string",NA,"basic","obfuscate","N",""
"ntr_externalLab","ammoniumNReviewedBy","Name of lab personnel who reviewed ammonium N data prior to submission","string",NA,"basic","obfuscate","N",""
"ntr_externalLab","nitrateNitriteNMethod","Method used to test sample for nitrate + nitrite N concentration","string",NA,"basic","asIs","N",""
"ntr_externalLab","nitrateNitriteNInstrument","Type of instrument used for nitrate + nitrite N analysis","string",NA,"basic","asIs","N",""
"ntr_externalLab","nitrateNitriteNAnalyzedBy","Name of lab personnel analyzing sample for nitrate + nitrite N","string",NA,"basic","obfuscate","N",""
"ntr_externalLab","nitrateNitriteNReviewedBy","Name of lab personnel who reviewed nitrite + nitrate N data prior to submission","string",NA,"basic","obfuscate","N",""
"ntr_externalLab","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"ntr_externalLab","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"ntr_externalLab","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"ntr_externalSummary","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"ntr_externalSummary","analyte","Analyte or parameter measured","string",NA,"expanded","LOV","Y","ntr.analyte"
"ntr_externalSummary","analyteUnits","Associated units of measure for analyte","string",NA,"expanded","LOV","N","ntr.analyteUnits"
"ntr_externalSummary","sampleType","Type of sample","string",NA,"expanded","LOV","Y","ntr.sampleType"
"ntr_externalSummary","qaReferenceID","Identifier for quality assurance reference material or standard","string",NA,"expanded","asIs","Y",""
"ntr_externalSummary","lotID","Lot or batch number for quality assurance material","string",NA,"expanded","asIs","N",""
"ntr_externalSummary","analyteKnownValue","The known value of a given analyte for a quality assurance reference material or standard, with units tied to the analyte","real",NA,"expanded","*.##(round)","Y",""
"ntr_externalSummary","analyteObservedValue","The measured value of a given analyte for a standard reference material, with units tied to the analyte","real",NA,"expanded","*.##(round)","N",""
"ntr_externalSummary","analytePercentRecovery","Percent recovery of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns","real","percent","expanded","*.#(round)","N",""
"ntr_externalSummary","analyteStandardDeviation","Long-term average standard deviation values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns","real",NA,"expanded","*.###(round)","N",""
"ntr_externalSummary","methodDetectionLimit","Detection limit for method used","real",NA,"expanded","*.##(round)","N",""
"ntr_externalSummary","analyteMetricsCount","Count of how many measurements were used to determine analyte metrics","unsigned integer","number","expanded","integer","N",""
"ntr_externalSummary","qaReportingStartDate","Start date for the quality assurance (QA) reporting period","dateTime",NA,"expanded","yyyy-MM-dd(floor)","Y",""
"ntr_externalSummary","qaReportingEndDate","End date for the quality assurance (QA) reporting period","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"ntr_externalSummary","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"expanded","asIs","Y",""
"ntr_externalSummary","instrument","Type of instrument used for the analysis","string",NA,"expanded","asIs","N",""
"ntr_externalSummary","method","Published method used for analysis","string",NA,"expanded","asIs","Y",""
"ntr_externalSummary","dataQF","Data quality flag","string",NA,"expanded","asIs","N",""
"ntr_internalLab","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"ntr_internalLab","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"ntr_internalLab","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"ntr_internalLab","siteID","NEON site code","string",NA,"basic","asIs","N",""
"ntr_internalLab","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"ntr_internalLab","plotType","NEON plot type in which sampling occurred: tower, distributed or gradient","string",NA,"basic","asIs","N",""
"ntr_internalLab","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"ntr_internalLab","samplingProtocolVersion","The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","LOV","N","sls.samplingProtocolVersion"
"ntr_internalLab","sampleID","Identifier for sample","string",NA,"basic","asIs","Y",""
"ntr_internalLab","sampleCode","Barcode of a sample","string",NA,"basic","asIs","Y",""
"ntr_internalLab","kclSampleID","Identifier for a potassium chloride (KCl) extract sample","string",NA,"basic","asIs","N",""
"ntr_internalLab","kclSampleCode","Barcode of a potassium chloride (KCl) extract sample","string",NA,"basic","asIs","N",""
"ntr_internalLab","incubationPairID","Identifier for a linked pair of soil samples used to measure net nitrogen transformation rates","string",NA,"basic","asIs","N",""
"ntr_internalLab","nTransBoutType","Category of bout in relation to nitrogen transformation sample collection","string",NA,"basic","LOV","N","sls.nTransBout"
"ntr_internalLab","incubationLength","Length of soil incubation","real","day","basic","*.##(round)","N",""
"ntr_internalLab","extractionStartDate","The start date-time for an extraction event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"ntr_internalLab","kclReferenceID","Identifier for a potassium chloride (KCl) blank reference","string",NA,"basic","asIs","N",""
"ntr_internalLab","soilFreshMass","Total fresh mass of soil","real","gram","basic","*.##(round)","N",""
"ntr_internalLab","kclVolume","Volume potassium chloride (KCl) used to extract soil sample","real","milliliter","basic","*.#(round)","N",""
"ntr_internalLab","extractionEndDate","The end date-time for an extraction event","dateTime",NA,"basic","yyyy-MM-dd'T'HH'Z'(round)","N",""
"ntr_internalLab","sampleCondition","Condition of a sample","string",NA,"basic","LOV","N","ntr.sampleCondition"
"ntr_internalLab","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"ntr_internalLab","processedBy","An identifier for the technician who processed the sample(s)","string",NA,"basic","asIs","N",""
"ntr_internalLab","recordedBy","An identifier for the technician who recorded the data","string",NA,"basic","asIs","N",""
"ntr_internalLab","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"ntr_internalLab","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"ntr_internalLab","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"ntr_internalLabBlanks","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"ntr_internalLabBlanks","siteID","NEON site code","string",NA,"basic","asIs","N",""
"ntr_internalLabBlanks","extractionStartDate","The start date-time for an extraction event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
